ID_ART	Sep_2024	Oct_2024	Nov_2024	Dic_2024	Ene_2025	Feb_2025	Mar_2025	Abr_2025	May_2025	Jun_2025	Jul_2025	Ago_2025
AUAC3-4-1	2,332753	3,269509	3,86093	4,105969	4,072217	3,913315	3,732841	3,563596	3,410241	3,280001	3,176627	3,098394
AUACAC24NE600	0,998245	0,950056	1,372024	1,63607	1,944966	2,118667	2,189775	2,126773	2,011535	1,902637	1,854076	1,862666
AUACAP40	0,977146	0,979753	0,928591	0,925722	0,923845	0,922389	0,922183	0,922076	0,922027	0,922016	0,922011	0,92201
AUACAR10SH	3,518991	3,453414	4,361804	4,473773	4,786244	4,821449	4,91346	4,911893	4,934061	4,927282	4,931765	4,927766
AUACAR200	2,57302	2,55111	2,566818	2,578622	2,579914	2,580129	2,580318	2,580365	2,580372	2,580375	2,580376	2,580377
AUACAR380	0,394379	1,073132	1,700067	1,397628	1,16125	1,515928	1,327919	1,763062	2,187333	0	0,041462	0,259438
AUACAVANTI6000Z	0,001257	0,001413	0,001496	0,001516	0,001524	0,001526	0,001526	0,001526	0,001527	0,001527	0,001527	0,001527
AUACCH1	1,085935	1,104281	0,932268	0,919572	0,894031	0,890145	0,886237	0,885341	0,88471	0,884525	0,884419	0,884384
AUACDG1224	4,65046	3,257859	3,097701	3,034792	3,053079	3,014228	2,96692	2,960652	3,10759	3,120935	3,076751	3,053276
AUACEG501	3,250853	1,586329	1,636932	2,343943	1,944169	1,325804	0,102838	0	0	0	0,735193	1,399816
AUACFC351	6,231501	3,183108	3,752662	4,626482	4,38969	4,211668	4,378683	4,475857	4,453289	4,459075	4,492312	4,507156
AUACFENIX601	1,37065	1,522884	1,572301	1,559026	1,520903	1,498848	1,48943	1,489304	1,493568	1,490502	1,490782	1,497664
AUACFEX10	0,00349	0,007065	0,005079	0,001336	0	0	0	0	0	0	0	0
AUACIN624	0,790817	1,072292	1,199235	1,254947	1,2769	1,283452	1,283346	1,282373	1,281538	1,281011	1,28073	1,280601
AUACKCP501R	0	0,154387	0,419082	0,766477	1,230335	1,781177	2,289035	2,219488	0,718905	0,249179	0,331047	0,475255
AUACSB9	0,080148	0,099297	0,049867	0,055381	0,054739	0,052366	0,052668	0,052555	0,052444	0,052458	0,052448	0,052443
AUELEE16	0	0,4646	1,392185	2,027798	2,172238	2,548114	3,200528	3,279045	3,052078	2,521898	2,581856	1,842902
HEELAG114	24,85333	23,76671	23,64657	23,77039	23,78272	23,78378	23,78305	23,78294	23,78293	23,78294	23,78293	23,78293
HEELAG1142KIT	11,88084	10,6753	8,935659	3,148854	11,98906	23,45771	18,62976	15,26914	31,29045	23,72517	3,943896	8,173615
HEELCINPA30410	3,390177	4,654455	4,455254	4,299915	4,320932	4,34636	4,337449	4,325817	4,321471	4,312327	4,311857	4,310584
HEELJS750	7,000627	6,954472	6,537381	6,640405	6,559839	6,533284	6,710083	6,703816	6,699153	6,707822	6,712621	6,719684
HEELPW2482	19,09858	19,59488	20,28658	20,34982	20,43917	20,49693	20,51418	20,52594	20,53213	20,53478	20,53627	20,53701
HEELTA1500	3,812745	3,946741	3,750962	3,647165	3,644784	3,632803	3,628961	3,62838	3,627761	3,627599	3,627551	3,627522
HEELXB0220	4,639692	4,087503	3,067014	2,939252	4,063692	3,089532	2,078782	2,777811	3,854973	2,531923	2,148884	4,156382
HEELXCB20	0,014783	0,01931	0,023856	0,026455	0,029349	0,030127	0,031413	0,032155	0,031262	0,031377	0,030151	0,030147
HEFUFD52	26,54749	28,84815	28,81272	28,61872	28,48161	28,4174	28,39807	28,38138	28,36276	28,38184	28,35751	28,3392
MADUDG301-A	2,686527	2,762423	2,812557	2,823784	2,813006	2,802	2,800596	2,803721	2,807045	2,808485	2,805845	2,805329
SOELCSVM500IP	0,033286	0,012762	0,055639	0,105135	0,151272	0,013648	0,013241	0,014711	0,017613	0,019117	0,01831	0,015018
SOELSI7150DV	12,7255	12,58519	12,9931	13,25357	13,36571	13,47513	13,57197	13,65458	13,74371	13,75942	13,82943	13,86521
SOELSI9210DT	5,174293	5,200507	5,146732	5,024264	5,021492	5,017852	5,015347	5,015173	5,015047	5,014993	5,014986	5,014982
SOFUFW83	16,42494	21,20477	23,49067	23,53763	21,90953	20,0266	18,125	17,06359	16,82167	17,20112	17,96718	18,1959
SOSWC1-811	12,71336	10,66611	10,20597	11,30697	12,96553	13,80286	13,40771	12,48634	11,76872	11,61786	11,98458	12,49438
SOSWG1-111	2,875179	3,244919	3,342873	3,075896	3,105607	3,100512	3,082901	3,084715	3,083553	3,082378	3,082449	3,082313
SOSWG3-311	0,000115	0,000101	0,000129	0,000175	0,000221	0,000258	0,000282	0,000292	0,0001	0,0001	0,0001	0,0001
SOSWG3-313	0,006895	0,002238	0,00222	0,002219	0,002207	0,002207	0,002207	0,002207	0,002207	0,002207	0,002207	0,002207
SOSWG3-314	0	0	0	0	0	0	0	0	0	0	0	0
SOSWG3-COOL	0,026304	0,017514	0,010865	0,005411	0,005485	0,00547	0,005408	0,005335	0,005303	0,005293	0,005292	0,005291
SOSWM1-122	2,08353	2,172813	2,392139	2,685976	2,733433	2,795196	2,841752	2,856527	2,870222	2,878533	2,882286	2,885134
SOSWM2-210	0,486318	0,544231	0,53104	0,751073	0,88877	0,875037	0,92166	0,958269	1,052847	1,001483	0,93849	0,867093
SOSWM2-212	0	0	0	0	0	0	0	0	0	0	0	0
SOSWM2-214	0,006217	0,006197	0,006232	0,006212	0,006212	0,006212	0,006212	0,006212	0,006212	0,006212	0,006212	0,006212
SOSWM2-215	0	0	0	0	0	0	0	0	0	0	0	0
SOSWM2-235	1,042033	1,046445	1,046309	1,04534	1,046226	1,045714	1,047306	1,04732	1,04732	1,047319	1,04732	1,047321
SOSWM2-252	0,921284	0,797489	0,854299	0,881446	0,899317	0,908821	0,91196	0,911464	0,909178	0,906319	0,904234	0,900841
SOSWM3-317	7,803865	7,005484	6,630122	6,411708	6,263943	5,871413	5,838389	5,699625	5,607133	5,530948	5,467361	5,413247
SOSWP1-440	1,186606	0,242319	0,200412	1,097955	0,242432	0,114784	0,980721	0,263674	0,138168	0,82118	0,255895	0,107846
SOSWP2-409	0	0	0	0	0	0	0	0	0	0	0	0
SOSWP2-411	0,933143	0,879161	0,972301	0,942047	0,942306	0,93958	0,940648	0,940687	0,940763	0,940725	0,940722	0,94072
SOSWP2-412	0,043672	0,028087	0,018648	0,014149	0,012528	0,01173	0,012293	0,012413	0,01316	0,013906	0,014543	0,01418
SOSWP2-510	1,402047	0,230961	0,147067	0,634206	0,793081	0,268327	0,030246	0,231262	0,331404	0,195872	0,073897	0,114507
SOSWP2-514	1,340327	1,416352	1,658918	1,581964	1,62482	1,657874	1,654544	1,666538	1,672716	1,674569	1,677714	1,679333
SOSWP2-518	1,001734	1,028204	1,021153	1,012956	1,013214	1,013092	1,01303	1,013032	1,01303	1,01303	1,01303	1,01303
SOSWSWA2650	15,36396	16,40503	17,74046	18,58921	18,94499	19,19773	19,34118	19,41764	19,46434	19,49075	19,50567	19,51438
SOSWSWT3545A	0,002158	0,002093	0,002061	0,001883	0,001883	0,001883	0,001884	0,001884	0,001884	0,001884	0,001884	0,001884
AUACBOOM04F	0,09299	0	0,004419	0,488528	0,503666	0,458439	0,426191	0,42717	0,431592	0,433659	0,4334	0,433017
HEELAG1420	6,14154	9,280917	8,744368	10,27731	11,35831	9,499249	7,671934	8,230303	8,312713	8,374599	8,22859	7,951135
SOFUFW257	12,42767	14,9475	13,76434	17,3521	17,08859	20,74847	20,54759	19,06662	17,60721	15,41659	14,49358	13,965
SOSWP1-340	0	0,287464	0,980745	0	0,276531	0,453211	0,031183	0,19553	0,210724	0,044916	0,124862	0,10601
AUAC4010	2,988314	0,99834	3,00756	1,555178	0,016233	1,993564	1,64832	0,008363	2,802073	1,670665	0,005325	1,01668
AUACAE15	2,139617	2,757066	2,319047	2,517945	3,115432	3,267921	2,216311	2,391098	2,530774	2,470393	2,836218	2,657999
AUACAT63	4,311656	3,058223	2,293239	1,223955	1,337709	1,337709	1,337709	1,337709	1,337709	1,337709	1,337709	1,337709
AUACBD1522	3,688646	3,517922	3,517922	3,517922	3,517922	3,517922	3,517922	3,517922	3,517922	3,517922	3,517922	3,517922
AUACBL05	4,53301	2,45436	3,054889	7,287289	16,48362	13,20667	3,671199	5,460211	10,59247	15,25472	11,95676	17,31564
AUACCRAB02	2,99983	1,000343	3,999474	9,99803	9,999892	1,003897	1,000649	1,000169	13,99584	13,99876	10,00216	1,003138
AUACFX1000	7,641404	4,645121	3,922504	8,259215	4,721097	0	23,36124	7,406956	5,696732	13,26904	7,641404	4,645121
AUACGC02	1,162181	1,123962	1,134829	1,067275	1,067275	1,067275	1,067275	1,067275	1,067275	1,067275	1,067275	1,067275
AUACKCP301R	2,017339	4,554531	5,824175	2,649869	4,554531	5,824175	2,649869	4,554531	5,824175	2,649869	4,554531	5,824175
AUACKCP850R	2,031514	0	0,006069	4,447752	1,315684	2,132754	1,086861	2,36762	0,284525	1,473137	0,851599	0
AUACPB400	20,73769	28,44959	18,11279	26,20196	32,73082	21,46655	27,14507	22,25693	32,65667	24,04221	25,28295	23,73701
AUACRT3FX	7,439479	7,439479	7,439479	7,439479	7,439479	7,439479	7,439479	7,439479	7,439479	7,439479	7,439479	7,439479
AUACSB4	0,823802	0,823802	0,823802	0,823802	0,823802	0,823802	0,823802	0,823802	0,823802	0,823802	0,823802	0,823802
AUACV515	19,3801	16,82433	14,53353	17,24477	16,00172	14,80839	15,43786	12,80132	13,35677	11,10944	10,66004	12,23749
AUELMC3	8,554351	7,827447	8,150413	7,827447	8,150413	7,827447	8,150413	7,827447	8,150413	7,827447	8,150413	7,827447
AUELME811	0	4,336842	4,049418	8,134799	9,92401	4,175861	0,822275	2,384661	3,983223	7,162387	6,61852	7,358272
HEELAG181	4,944656	9,615762	15,84387	17,49122	6,081761	10,01476	6,753769	5,984463	16,56151	18,44347	7,249748	11,26688
